Frequency (GHz),Theta (°),Phi (°),Gain phi,Gain theta
0.02,0,0,1.06141603,1.14437921e-06
0.02,0,4.99999985,1.05316365,0.0082536377
0.02,0,9.99999971,1.02903664,0.0323806666
0.02,0,15.0000004,0.989768147,0.0716491267
0.02,0,19.9999994,0.936551452,0.124865897
0.02,0,25.0000001,0.871003211,0.190413982
0.02,0,30.0000008,0.795115352,0.266301721
0.02,0,34.9999998,0.71119386,0.350223392
0.02,0,39.9999988,0.621788263,0.439628959
0.02,0,45.0000013,0.529615283,0.531801999
0.02,0,50.0000003,0.437475592,0.6239416
0.02,0,54.9999993,0.348168582,0.71324873
0.02,0,60.0000017,0.264407992,0.797009289
0.02,0,65.0000007,0.188738883,0.872678339
0.02,0,69.9999997,0.123460338,0.937956989
0.02,0,74.9999987,0.0705558211,0.990861416
0.02,0,79.9999977,0.0316327959,1.02978456
0.02,0,84.9999967,0.00787393935,1.05354345
0.02,0,90.0000025,1.14447471e-06,1.06141603
0.02,0,95.0000015,0.00825364422,1.05316365
0.02,0,100.000001,0.0323806703,1.02903664
0.02,0,105,0.0716491267,0.989768147
0.02,0,109.999999,0.124865897,0.936551452
0.02,0,115.000004,0.190414026,0.871003211
0.02,0,120.000003,0.266301781,0.795115352
0.02,0,125.000002,0.350223392,0.7111938
0.02,0,130.000001,0.439629048,0.621788263
0.02,0,135,0.531801999,0.529615283
0.02,0,139.999999,0.6239416,0.437475592
0.02,0,144.999998,0.71324873,0.348168582
0.02,0,149.999997,0.797009289,0.264408082
0.02,0,154.999996,0.872678339,0.188738972
0.02,0,159.999995,0.937956989,0.12346039
0.02,0,164.999994,0.990861416,0.0705558509
0.02,0,169.999993,1.02978456,0.0316328183
0.02,0,175.000006,1.05354345,0.00787390955
0.02,0,180.000005,1.06141603,1.14457043e-06
0.02,0,185.000004,1.05316365,0.00825365167
0.02,0,190.000003,1.02903664,0.0323806778
0.02,0,195.000002,0.989768147,0.0716491416
0.02,0,200.000001,0.936551452,0.124865897
0.02,0,205,0.871003389,0.190413982
0.02,0,209.999999,0.795115352,0.266301721
0.02,0,214.999998,0.71119386,0.350223333
0.02,0,219.999997,0.621788383,0.439628959
0.02,0,224.999996,0.529615343,0.531801939
0.02,0,230.000009,0.437475383,0.623941958
0.02,0,235.000008,0.348168463,0.713248789
0.02,0,240.000007,0.264407933,0.797009289
0.02,0,245.000006,0.188738793,0.872678339
0.02,0,250.000005,0.123460285,0.937956989
0.02,0,255.000004,0.0705557689,0.990861595
0.02,0,260.000003,0.0316327661,1.02978456
0.02,0,265.000002,0.00787392259,1.05354345
0.02,0,270.000001,1.14440536e-06,1.06141603
0.02,0,275,0.0082536377,1.05316365
0.02,0,279.999999,0.0323806554,1.02903664
0.02,0,284.999998,0.0716491193,0.989768147
0.02,0,289.999997,0.12486586,0.936551452
0.02,0,294.999996,0.190413892,0.871003389
0.02,0,299.999995,0.266301632,0.79511553
0.02,0,304.999994,0.350223213,0.711193919
0.02,0,309.999993,0.439628839,0.621788383
0.02,0,314.999992,0.531801939,0.529615521
0.02,0,319.999991,0.623941541,0.437475711
0.02,0,324.99999,0.713248491,0.348168761
0.02,0,329.999989,0.79700911,0.264408261
0.02,0,334.999988,0.872678161,0.188739061
0.02,0,339.999987,0.93795681,0.123460494
0.02,0,345.000013,0.990861595,0.070555687
0.02,0,350.000012,1.02978456,0.0316327028
0.02,0,355.000011,1.05354345,0.00787389372
0.02,0,360.00001,1.06141603,1.14437921e-06
0.02,4.99999985,0,1.06138682,9.65812433e-07
0.02,4.99999985,4.99999985,1.05313504,0.00817592163
0.02,4.99999985,9.99999971,1.0290066,0.0321049355
0.02,4.99999985,15.0000004,0.989735484,0.0710603744
0.02,4.99999985,19.9999994,0.936514974,0.123857856
0.02,4.99999985,25.0000001,0.87096262,0.188892335
0.02,4.99999985,30.0000008,0.795071542,0.264186949
0.02,4.99999985,34.9999998,0.711147308,0.347453028
0.02,4.99999985,39.9999988,0.621740758,0.436159819
0.02,4.99999985,45.0000013,0.529568732,0.527611673
0.02,4.99999985,50.0000003,0.437432081,0.619029284
0.02,4.99999985,54.9999993,0.348130018,0.707635045
0.02,4.99999985,60.0000017,0.264375776,0.790736556
0.02,4.99999985,65.0000007,0.188713908,0.865809262
0.02,4.99999985,69.9999997,0.123442806,0.930572093
0.02,4.99999985,74.9999987,0.070545122,0.983058214
0.02,4.99999985,79.9999977,0.0316276662,1.02167284
0.02,4.99999985,84.9999967,0.00787249114,1.0452435
0.02,4.99999985,90.0000025,1.13179624e-06,1.05305386
0.02,4.99999985,95.0000015,0.00825269707,1.0448668
0.02,4.99999985,100.000001,0.0323765613,1.02093077
0.02,4.99999985,105,0.0716400221,0.981973231
0.02,4.99999985,109.999999,0.124850489,0.929177105
0.02,4.99999985,115.000004,0.190391883,0.86414659
0.02,4.99999985,120.000003,0.266273052,0.788856924
0.02,4.99999985,125.000002,0.35018909,0.705595493
0.02,4.99999985,130.000001,0.439590514,0.616891921
0.02,4.99999985,135,0.531761289,0.525441229
0.02,4.99999985,139.999999,0.62390101,0.434022456
0.02,4.99999985,144.999998,0.713209867,0.345413417
0.02,4.99999985,149.999997,0.796973705,0.262307256
0.02,4.99999985,154.999996,0.872647285,0.187229618
0.02,4.99999985,159.999995,0.937930644,0.122462697
0.02,4.99999985,164.999994,0.990839779,0.0699751675
0.02,4.99999985,169.999993,1.02976608,0.0313627124
0.02,4.99999985,175.000006,1.053527,0.00779920351
0.02,4.99999985,180.000005,1.0613997,1.32257856e-06
0.02,4.99999985,185.000004,1.05314541,0.00820630509
0.02,4.99999985,190.000003,1.02901459,0.0321650393
0.02,4.99999985,195.000002,0.989741087,0.0711495504
0.02,4.99999985,200.000001,0.936518669,0.12397515
0.02,4.99999985,205,0.870964885,0.189036518
0.02,4.99999985,209.999999,0.795072079,0.264356583
0.02,4.99999985,214.999998,0.71114701,0.347646266
0.02,4.99999985,219.999997,0.621739984,0.436374992
0.02,4.99999985,224.999996,0.529567778,0.527846634
0.02,4.99999985,230.000009,0.437430888,0.619282246
0.02,4.99999985,235.000008,0.348129243,0.707903445
0.02,4.99999985,240.000007,0.264375627,0.791018307
0.02,4.99999985,245.000006,0.188714251,0.866102219
0.02,4.99999985,250.000005,0.123443656,0.930874228
0.02,4.99999985,255.000004,0.070546262,0.983367324
0.02,4.99999985,260.000003,0.0316288061,1.02198696
0.02,4.99999985,265.000002,0.0078732986,1.04556048
0.02,4.99999985,270.000001,1.21807284e-06,1.05337131
0.02,4.99999985,275,0.00825163163,1.04518294
0.02,4.99999985,279.999999,0.0323739462,1.02124381
0.02,4.99999985,284.999998,0.071635507,0.982280791
0.02,4.99999985,289.999997,0.124843821,0.929477632
0.02,4.99999985,294.999996,0.190382734,0.864437938
0.02,4.99999985,299.999995,0.266261518,0.789136887
0.02,4.99999985,304.999994,0.350175083,0.705862045
0.02,4.99999985,309.999993,0.43957442,0.617142797
0.02,4.99999985,314.999992,0.531743407,0.525674403
0.02,4.99999985,319.999991,0.623881519,0.434235901
0.02,4.99999985,324.99999,0.713189363,0.345605195
0.02,4.99999985,329.999989,0.796952844,0.262475461
0.02,4.99999985,334.999988,0.872626603,0.18737261
0.02,4.99999985,339.999987,0.937910557,0.122578956
0.02,4.99999985,345.000013,0.990821123,0.0700632036
0.02,4.99999985,350.000012,1.02974939,0.0314218476
0.02,4.99999985,355.000011,1.05351186,0.0078288177
0.02,4.99999985,360.00001,1.06138682,9.65812433e-07
0.02,9.99999971,0,1.06131291,7.91748732e-07
0.02,9.99999971,4.99999985,1.05305982,0.00797553174
0.02,9.99999971,9.99999971,1.0289253,0.0313462839
0.02,9.99999971,15.0000004,0.989643514,0.0694012642
0.02,9.99999971,19.9999994,0.936410129,0.120981887
0.02,9.99999971,25.0000001,0.870844424,0.184518322
0.02,9.99999971,30.0000008,0.794941008,0.258077204
0.02,9.99999971,34.9999998,0.711008489,0.339420855
0.02,9.99999971,39.9999988,0.621598601,0.42607531
0.02,9.99999971,45.0000013,0.529429376,0.515406251
0.02,9.99999971,50.0000003,0.437301755,0.60469842
0.02,9.99999971,54.9999993,0.348014653,0.691238582
0.02,9.99999971,60.0000017,0.264279842,0.772397816
0.02,9.99999971,65.0000007,0.188640118,0.845711648
0.02,9.99999971,69.9999997,0.123391584,0.908954203
