FFT Dimension (GHz),Re( Z ) (ohm),Im( Z ) (ohm)
0,-50.8259315,0
9.11720313e-06,-50.8900719,9.03310108
1.82344063e-05,-50.9890556,18.0666103
2.73516074e-05,-51.2298584,27.106657
3.64688125e-05,-51.5044632,36.1412354
4.55860156e-05,-51.8783836,45.1546478
5.47032148e-05,-52.3216743,54.1837997
6.3820418e-05,-52.8501663,63.2363472
7.2937625e-05,-53.4439278,72.2569885
8.20548281e-05,-54.1629181,81.2981415
9.11720313e-05,-54.9695396,90.3399353
0.000100289227,-55.8445168,99.3263702
0.00010940643,-56.7934647,108.399323
0.000118523633,-57.8531952,117.452095
0.000127640836,-58.9939156,126.503769
0.000136758047,-60.1458626,135.473328
0.00014587525,-61.4469223,144.465088
0.000154992453,-62.8166313,153.48764
0.000164109656,-64.3247604,162.604324
0.000173226859,-65.8412094,171.618866
0.000182344063,-67.3762665,180.578461
0.000191461266,-69.1417694,189.592606
0.000200578453,-70.8844757,198.611572
0.000209695656,-72.8743057,207.683167
0.000218812859,-74.8055038,216.618713
0.000227930063,-76.7913666,225.654938
0.000237047266,-78.9746857,234.7052
0.000246164469,-81.2458649,243.704117
0.000255281672,-83.4914551,252.652664
0.000264398875,-85.9405518,261.643311
0.000273516094,-88.4317245,270.62738
0.000282633281,-90.9423065,279.582642
0.0002917505,-93.6383591,288.593933
0.000300867688,-96.3243561,297.429138
0.000309984906,-99.2597961,306.642944
0.000319102094,-102.184311,315.479462
0.000328219313,-105.264481,324.508392
0.0003373365,-108.354889,333.447144
0.000346453719,-111.524696,342.388672
0.000355570906,-114.783478,351.245056
0.000364688125,-118.247704,360.266724
0.000373805313,-121.846222,369.361877
0.000382922531,-125.410515,378.254517
0.000392039719,-128.959442,387.050537
0.000401156906,-132.696335,395.962372
0.000410274125,-136.553635,404.889862
0.000419391313,-140.66835,413.838196
0.000428508531,-144.72525,422.725342
0.000437625719,-148.973587,431.608521
0.000446742938,-153.077484,440.433533
0.000455860125,-157.466873,449.35611
0.000464977344,-161.802399,458.165985
0.000474094531,-166.479614,467.170715
0.00048321175,-171.100449,475.841492
0.000492328938,-175.923676,484.659668
0.000501446156,-180.665619,493.43399
0.000510563344,-185.553574,502.172119
0.000519680563,-190.540344,511.097443
0.00052879775,-195.967133,519.920959
0.000537914938,-201.283035,528.725281
0.000547032188,-206.134277,537.049622
0.000556149375,-211.771042,545.895935
0.000565266563,-217.581696,554.69397
0.00057438375,-223.503983,563.585083
0.000583501,-229.09082,572.094421
0.000592618188,-235.102814,580.902344
0.000601735375,-240.874252,589.251648
0.000610852563,-247.117096,598.022888
0.000619969813,-253.283325,606.521179
0.000629087,-259.603149,615.102295
0.000638204188,-266.327881,623.806702
0.000647321375,-272.952393,632.374207
0.000656438625,-279.603363,640.835083
0.000665555813,-286.479889,649.276489
0.000674673,-293.409546,657.675232
0.000683790187,-300.514679,666.232788
0.000692907438,-307.638794,674.449097
0.000702024625,-314.651611,682.756104
0.000711141812,-322.296753,691.094177
0.000720259,-329.983856,699.534485
0.00072937625,-337.594788,707.814819
0.000738493437,-345.095886,716.045288
0.000747610625,-353.038208,724.08252
0.000756727813,-361.379974,732.484619
0.000765845063,-369.381653,740.342468
0.00077496225,-377.713226,748.384827
0.000784079438,-386.311401,756.60553
0.000793196625,-394.836792,764.724365
0.000802313813,-403.217987,772.625183
0.000811431063,-412.024292,780.563965
0.00082054825,-421.164307,788.4021
0.000829665438,-430.127228,796.074524
0.000838782625,-439.398132,803.93103
0.000847899875,-448.827881,811.742188
0.000857017063,-458.173187,819.307129
0.00086613425,-467.896088,826.840454
0.000875251438,-477.237885,834.125244
0.000884368688,-487.439758,841.915894
0.000893485875,-497.080078,849.31073
0.000902603063,-507.433807,856.981506
0.00091172025,-517.786865,863.935364
0.0009208375,-528.517883,871.193115
0.000929954688,-538.472412,878.477112
0.000939071875,-549.422729,885.461304
0.000948189063,-560.704895,892.461975
0.000957306313,-571.468201,899.446228
0.0009664235,-582.523438,906.417847
0.000975540688,-593.91272,913.347961
0.000984657875,-605.159424,919.767151
0.000993775125,-617.287354,926.296631
0.00100289231,-628.593994,933.027161
0.0010120095,-641.034668,939.607422
0.00102112669,-652.752808,945.91449
0.00103024394,-665.048889,951.836304
0.00103936113,-677.623535,957.961182
0.00104847831,-689.938049,964.165955
0.0010575955,-702.376099,970.214111
0.00106671275,-715.337097,976.281311
0.00107582988,-728.178711,981.95929
0.00108494713,-741.090271,987.685852
0.00109406438,-754.404724,993.274414
0.0011031815,-768.370239,998.101624
0.00111229875,-781.349609,1003.30017
0.001121416,-794.954834,1008.75275
0.00113053313,-808.909729,1014.01495
0.00113965038,-823.352051,1018.71118
0.0011487675,-837.19043,1023.46112
0.00115788475,-851.141357,1027.74451
0.001167002,-865.946228,1032.64185
0.00117611913,-880.468445,1037.26746
0.00118523638,-895.262268,1041.03162
0.0011943535,-909.867676,1044.92041
0.00120347075,-925.241455,1048.55798
0.001212588,-940.627258,1052.8916
0.00122170513,-955.099487,1056.37708
0.00123082238,-971.265259,1059.9967
0.00123993963,-987.062439,1062.34045
0.00124905675,-1002.72748,1065.41125
0.001258174,-1018.12964,1068.60742
0.00126729113,-1034.52625,1070.95288
0.00127640838,-1050.97241,1073.84033
0.00128552563,-1067.85327,1076.37341
0.00129464275,-1083.80127,1078.58179
0.00130376,-1100.32776,1080.28833
0.00131287725,-1116.95056,1081.25269
0.00132199438,-1133.82886,1082.99036
0.00133111163,-1150.9071,1084.1825
0.00134022875,-1168.27026,1085.7561
0.001349346,-1185.65576,1086.00427
0.00135846325,-1203.23108,1086.31714
0.00136758037,-1219.61243,1086.75403
0.00137669763,-1238.23108,1087.58081
0.00138581488,-1256.04419,1087.15881
0.001394932,-1273.51025,1086.59839
0.00140404925,-1291.30188,1086.15918
0.00141316638,-1310.03882,1085.29553
0.00142228362,-1327.49744,1084.16089
0.00143140088,-1346.67371,1082.70642
0.001440518,-1364.57263,1081.19312
0.00144963525,-1383.11011,1079.25317
0.0014587525,-1401.89844,1076.98438
0.00146786963,-1421.06958,1074.96484
0.00147698687,-1439.37683,1071.58997
0.001486104,-1458.82422,1067.84363
0.00149522125,-1476.68237,1065.88855
0.0015043385,-1496.73169,1061.94763
0.00151345563,-1515.74072,1057.87366
0.00152257288,-1534.18921,1053.28723
0.00153169013,-1553.78857,1048.63245
0.00154080725,-1572.6084,1044.74744
0.0015499245,-1591.2511,1039.65723
0.00155904163,-1611.49548,1034.35315
0.00156815888,-1630.17981,1028.07947
0.00157727613,-1649.49768,1021.54852
0.00158639325,-1669.33521,1014.91815
0.0015955105,-1687.79688,1008.47986
0.00160462763,-1707.7489,1001.70856
0.00161374488,-1727.62305,994.065186
0.00162286213,-1746.20862,986.50647
0.00163197925,-1764.87537,977.942993
0.0016410965,-1784.80774,969.768616
0.00165021375,-1804.83325,960.869019
0.00165933088,-1823.77917,951.87085
0.00166844813,-1841.68274,942.580994
0.00167756525,-1861.50562,932.830688
0.0016866825,-1880.45349,922.800964
0.00169579975,-1899.65381,911.483398
0.00170491688,-1918.02942,901.748047
0.00171403413,-1937.17102,890.146362
0.00172315138,-1955.03979,877.908752
0.0017322685,-1974.69788,866.312988
0.00174138575,-1993.77771,853.421021
0.00175050288,-2011.3717,841.051147
0.00175962013,-2029.66235,828.666992
0.00176873738,-2047.22595,814.827332
0.0017778545,-2065.09912,801.509338
0.00178697175,-2083.08765,787.916626
0.001796089,-2101.94678,771.929199
0.00180520613,-2119.24854,758.19104
0.00181432338,-2135.76709,742.956726
0.0018234405,-2152.62256,727.825745
0.00183255775,-2169.51855,712.130493
0.001841675,-2186.70166,697.087769
0.00185079213,-2203.17993,679.916321
0.00185990938,-2219.58179,662.554932
0.00186902663,-2235.4165,645.703918
0.00187814375,-2250.43701,629.307434
0.001887261,-2266.49854,612.082581
0.00189637813,-2282.52393,592.602661
0.00190549538,-2297.30469,573.238403
0.00191461263,-2311.46436,556.569641
0.00192372975,-2326.35522,537.050415
0.001932847,-2339.78076,519.080872
0.00194196425,-2353.9248,499.606598
0.00195108138,-2368.81689,478.770569
0.00196019862,-2381.18433,459.475525
0.00196931575,-2394.08862,439.183289
0.001978433,-2406.17334,419.071991
0.00198755025,-2418.68042,398.466217
0.00199666737,-2430.67065,377.821075
0.00200578463,-2442.51855,355.568787
0.00201490175,-2453.98193,334.550415
0.002024019,-2465.69531,312.687347
0.00203313625,-2474.23486,290.722992
0.00204225338,-2485.09912,269.008545
0.00205137062,-2495.58618,246.703506
0.00206048788,-2504.62744,223.906433
0.002069605,-2514.18921,202.459656
0.00207872225,-2522.28174,178.991562
0.00208783937,-2530.71509,156.644958
0.00209695663,-2538.45435,133.209259
0.00210607375,-2546.17749,110.112488
0.002115191,-2553.41431,87.6226425
0.00212430825,-2560.37109,62.6013641
0.0021334255,-2565.96045,40.3849297
0.00214254275,-2572.24487,16.133379
0.00215165975,-2578.25708,-6.7186985
0.002160777,-2582.90942,-31.7423363
0.00216989425,-2587.53223,-55.7173157
0.0021790115,-2591.64014,-78.50177
0.00218812875,-2595.53711,-101.790306
0.00219724575,-2599.20312,-126.180031
0.002206363,-2601.99805,-150.396423
0.00221548025,-2604.22266,-175.514084
0.0022245975,-2607.74194,-199.198044
0.00223371475,-2609.448,-221.277588
0.002242832,-2610.20068,-246.751053
0.002251949,-2611.52637,-270.014252
0.00226106625,-2611.948,-293.83551
0.0022701835,-2612.4939,-317.605682
0.00227930075,-2612.78613,-341.68634
0.002288418,-2612.14795,-364.59317
0.002297535,-2611.177,-389.445892
0.00230665225,-2609.19604,-412.769989
0.0023157695,-2608.12622,-435.592804
0.00232488675,-2605.59888,-458.388947
0.002334004,-2603.09595,-482.081512
0.002343121,-2600.94458,-504.821014
0.00235223825,-2597.52856,-527.635132
0.0023613555,-2594.7561,-551.782288
0.00237047275,-2590.15332,-574.861877
0.00237959,-2585.50513,-596.319763
0.002388707,-2581.60913,-618.354492
0.00239782425,-2576.63354,-641.223083
0.0024069415,-2572.46362,-663.756409
0.00241605875,-2566.2583,-685.694946
0.002425176,-2560.53809,-707.038818
0.00243429325,-2553.85693,-729.057312
0.00244341025,-2546.92114,-750.549988
0.0024525275,-2540.80811,-772.495911
0.00246164475,-2533.45239,-793.3255
0.002470762,-2526.43848,-812.700378
0.00247987925,-2519.0752,-832.584412
0.00248899625,-2510.24438,-854.3302
0.0024981135,-2502.59253,-875.051025
0.00250723075,-2494.09937,-894.979858
0.002516348,-2486.26196,-914.25116
0.00252546525,-2477.23145,-933.538452
0.00253458225,-2468.71069,-952.568665
0.0025436995,-2458.33398,-972.185791
0.00255281675,-2448.93188,-991.377502
0.002561934,-2438.73047,-1010.04016
0.00257105125,-2428.54248,-1028.64014
0.0025801685,-2418.3606,-1046.69385
0.0025892855,-2409.01221,-1063.56262
0.00259840275,-2397.41382,-1081.54785
0.00260752,-2386.88721,-1099.24548
0.00261663725,-2376.99194,-1115.44849
0.0026257545,-2364.82886,-1132.74915
0.0026348715,-2354.47534,-1148.93848
0.00264398875,-2342.89478,-1165.72192
0.002653106,-2330.85303,-1181.10095
0.00266222325,-2318.55469,-1197.70923
0.0026713405,-2306.90869,-1213.0011
0.0026804575,-2296.10278,-1228.19543
0.00268957475,-2283.18408,-1243.90186
0.002698692,-2270.98389,-1259.19739
0.00270780925,-2258.14478,-1273.08582
0.0027169265,-2246.06689,-1287.552
0.00272604375,-2233.66943,-1301.62451
0.00273516075,-2221.32349,-1315.4613
0.002744278,-2208.30273,-1329.52637
0.00275339525,-2195.52808,-1342.19263
0.0027625125,-2182.2439,-1355.0437
0.00277162975,-2169.11572,-1367.96973
0.00278074675,-2157.34814,-1380.69983
0.002789864,-2143.81226,-1392.6936
0.00279898125,-2130.87622,-1405.16357
0.0028080985,-2116.22803,-1417.52441
0.00281721575,-2103.67627,-1428.96667
0.00282633275,-2090.17285,-1439.70154
0.00283545,-2077.0293,-1451.44275
0.00284456725,-2064.53198,-1461.5968
0.0028536845,-2051.12573,-1473.20935
0.00286280175,-2036.32983,-1483.23694
0.00287191875,-2022.97424,-1493.90515
0.002881036,-2011.18091,-1503.49939
0.00289015325,-1997.85144,-1513.23132
0.0028992705,-1984.19763,-1522.8855
0.00290838775,-1969.47986,-1532.45447
0.002917505,-1956.74194,-1540.81433
0.002926622,-1942.6333,-1550.34753
0.00293573925,-1929.35498,-1559.10315
0.0029448565,-1916.06433,-1567.86108
0.00295397375,-1902.96179,-1575.25012
0.002963091,-1888.85156,-1584.08398
0.002972208,-1875.31946,-1591.9176
0.00298132525,-1861.92346,-1599.62
