FFT Dimension (GHz),Re( Z ) (ohm),Im( Z ) (ohm)
0,-50.5632591,0
9.48630371e-06,-50.5362854,-3.77052474
1.89726074e-05,-50.4936638,-7.54182529
2.84589121e-05,-50.4154892,-11.3132925
3.79452148e-05,-50.2962456,-15.083313
4.74315195e-05,-50.1478386,-18.8500175
5.69178242e-05,-49.9533768,-22.6140232
6.6404125e-05,-49.7636909,-26.3870544
7.58904297e-05,-49.5228386,-30.1479797
8.53767344e-05,-49.2499352,-33.9164429
9.48630391e-05,-48.9272919,-37.6695862
0.000104349344,-48.5692596,-41.4213791
0.000113835648,-48.2031326,-45.1794891
0.000123321945,-47.7981224,-48.9316292
0.00013280825,-47.3223724,-52.6662674
0.000142294563,-46.8540573,-56.4192543
0.000151780859,-46.3123322,-60.1310425
0.000161267156,-45.7875748,-63.8685951
0.000170753469,-45.2183876,-67.5991287
0.000180239766,-44.6047821,-71.3271103
0.000189726078,-43.9764671,-75.0447235
0.000199212375,-43.2907562,-78.7549133
0.000208698688,-42.5901413,-82.4622803
0.000218184984,-41.8512688,-86.1726456
0.000227671297,-41.0685997,-89.8445282
0.000237157594,-40.2836227,-93.5428619
0.000246643891,-39.4578133,-97.2275467
0.000256130203,-38.5731964,-100.890083
0.0002656165,-37.6799469,-104.543495
0.000275102813,-36.7621307,-108.204521
0.000284589125,-35.7919769,-111.85424
0.000294075406,-34.8053932,-115.501434
0.000303561719,-33.7806129,-119.120331
0.000313048031,-32.7222939,-122.747246
0.000322534313,-31.6474037,-126.350288
0.000332020625,-30.5372181,-129.95723
0.000341506938,-29.3904629,-133.55452
0.00035099325,-28.1877899,-137.136368
0.000360479531,-26.9820309,-140.721634
0.000369965844,-25.7433014,-144.281586
0.000379452156,-24.4900856,-147.834686
0.000388938438,-23.1887817,-151.372101
0.00039842475,-21.8626308,-154.901413
0.000407911063,-20.5120716,-158.427917
0.000417397375,-19.108532,-161.934021
0.000426883656,-17.712183,-165.413483
0.000436369969,-16.2517757,-168.918091
0.000445856281,-14.8007059,-172.371216
0.000455342594,-13.2730179,-175.842529
0.000464828875,-11.74119,-179.280502
0.000474315188,-10.182724,-182.740753
0.0004838015,-8.59482193,-186.169357
0.000493287781,-6.99144363,-189.556519
0.000502774094,-5.33708572,-192.92894
0.000512260406,-3.65256095,-196.338181
0.000521746719,-1.95281923,-199.702438
0.000531233,-0.218221202,-203.071289
0.000540719312,1.554708,-206.413727
0.000550205625,3.29716921,-209.72699
0.000559691938,5.12464476,-213.020279
0.00056917825,6.96483278,-216.319443
0.0005786645,8.83632946,-219.582779
0.000588150813,10.7515783,-222.906113
0.000597637125,12.6222277,-226.092377
0.000607123438,14.578639,-229.351212
0.00061660975,16.5477943,-232.588043
0.000626096062,18.5510616,-235.778412
0.000635582375,20.5508785,-238.963501
0.000645068625,22.6107063,-242.132797
0.000654554938,24.6809425,-245.285416
0.00066404125,26.7959728,-248.425049
0.000673527563,28.8925686,-251.524719
0.000683013875,31.0163269,-254.670471
0.000692500188,33.2386971,-257.781616
0.0007019865,35.3835869,-260.824432
0.00071147275,37.6230812,-263.891388
0.000720959063,39.8769379,-266.904999
0.000730445375,42.1429863,-269.919647
0.000739931688,44.3963089,-272.958832
0.000749418,46.7243042,-275.932587
0.000758904313,49.0430527,-278.924866
0.000768390625,51.3979416,-281.855927
0.000777876875,53.7761612,-284.765991
0.000787363188,56.1683884,-287.678711
0.0007968495,58.5675278,-290.622314
0.000806335813,61.041111,-293.486053
0.000815822125,63.4948425,-296.336761
0.000825308438,66.0139008,-299.213867
0.00083479475,68.4862366,-301.990692
0.000844281063,71.023735,-304.798187
0.000853767313,73.5638428,-307.640411
0.000863253625,76.0862122,-310.365875
0.000872739938,78.7153015,-313.089813
0.00088222625,81.3167877,-315.817657
0.000891712563,83.9161301,-318.565125
0.000901198875,86.5882721,-321.271332
0.000910685188,89.2246628,-323.941315
0.000920171438,91.9470139,-326.552612
0.00092965775,94.6259079,-329.212158
0.000939144063,97.3481903,-331.831512
0.000948630375,100.109367,-334.455566
0.000958116688,102.868286,-337.044617
0.000967603,105.60611,-339.59433
0.000977089313,108.411598,-342.131653
0.000986575563,111.213852,-344.634705
0.000996061875,114.094612,-347.139221
0.00100554819,116.903656,-349.638519
0.0010150345,119.788353,-352.130981
0.00102452081,122.625824,-354.568024
0.00103400713,125.55732,-356.990448
0.00104349344,128.51532,-359.367676
0.00105297975,131.440735,-361.767822
0.001062466,134.309418,-364.143829
0.00107195238,137.293106,-366.515961
0.00108143862,140.251999,-368.811127
0.00109092488,143.296387,-371.158264
0.00110041125,146.241043,-373.431335
0.0011098975,149.299759,-375.698273
0.00111938388,152.345627,-377.942596
0.00112887013,155.381104,-380.14975
0.0011383565,158.394043,-382.40332
0.00114784275,161.51506,-384.605408
0.001157329,164.58252,-386.780273
0.00116681538,167.703476,-388.919281
0.00117630163,170.806,-391.057098
0.001185788,173.930435,-393.168762
0.00119527425,177.061996,-395.264008
0.00120476063,180.303268,-397.404144
0.00121424688,183.429016,-399.434021
0.00122373313,186.65654,-401.479706
0.0012332195,189.79863,-403.508759
0.00124270575,192.919388,-405.507904
0.00125219212,196.248428,-407.526764
0.00126167838,199.410843,-409.427155
0.00127116475,202.741943,-411.378693
0.001280651,205.898087,-413.330383
0.00129013725,209.219513,-415.2117
0.00129962363,212.450287,-417.165131
0.00130910988,215.746689,-419.054932
0.00131859625,219.021103,-420.903839
0.0013280825,222.417358,-422.735168
0.00133756888,225.774506,-424.539703
0.00134705513,228.951477,-426.253937
0.00135654138,232.388184,-428.112274
0.00136602775,235.765015,-429.876801
0.001375514,239.088699,-431.625305
0.00138500038,242.442108,-433.428345
0.00139448663,245.800201,-435.102844
0.001403973,249.163284,-436.736786
0.00141345925,252.65509,-438.477814
0.0014229455,256.071381,-440.16098
0.00143243188,259.423798,-441.745148
0.00144191813,262.830292,-443.345154
0.0014514045,266.335602,-444.968719
0.00146089075,269.736603,-446.533234
0.00147037713,273.163605,-448.128143
0.00147986338,276.645355,-449.693726
0.00148934963,280.093323,-451.161377
0.001498836,283.530579,-452.850281
0.00150832225,287.045105,-454.255157
0.00151780863,290.515381,-455.707886
0.00152729488,294.094604,-457.227844
0.00153678125,297.549194,-458.678375
0.0015462675,301.061218,-460.118195
0.00155575375,304.545532,-461.556793
0.00156524013,308.168915,-462.9375
0.00157472638,311.675629,-464.306763
0.00158421275,315.200928,-465.706848
0.001593699,318.729736,-467.06665
0.00160318538,322.352844,-468.420715
0.00161267163,325.863861,-469.714691
0.001622158,329.453857,-471.083374
0.00163164425,333.052063,-472.314087
0.0016411305,336.520782,-473.552094
0.00165061688,340.088379,-474.916016
0.00166010313,343.66629,-476.143372
0.0016695895,347.394073,-477.35788
0.00167907575,350.935516,-478.577667
0.00168856213,354.584778,-479.811615
0.00169804838,358.14621,-481.020691
0.00170753463,361.77417,-482.191742
0.001717021,365.474915,-483.406036
0.00172650725,369.022247,-484.491699
0.00173599363,372.783661,-485.668945
0.00174547988,376.372559,-486.686981
0.00175496625,379.930298,-487.912262
0.0017644525,383.614014,-489.005188
0.00177393875,387.288391,-490.126709
0.00178342513,390.978088,-491.155426
0.00179291138,394.657715,-492.135925
0.00180239775,398.311249,-493.190704
0.001811884,401.985352,-494.291626
0.00182137038,405.709045,-495.297272
0.00183085663,409.313477,-496.28476
0.00184034288,413.133484,-497.273804
0.00184982925,416.748993,-498.225067
0.0018593155,420.451141,-499.253448
0.00186880188,424.17099,-500.198608
0.00187828813,427.817566,-501.138458
0.0018877745,431.650024,-502.138031
0.00189726075,435.342133,-503.045105
0.001906747,439.049408,-503.877563
0.00191623338,442.742523,-504.712219
0.00192571963,446.425201,-505.653137
0.001935206,450.145752,-506.526245
0.00194469225,453.952332,-507.467865
0.00195417863,457.799469,-508.29007
0.00196366487,461.445892,-509.151947
0.00197315113,465.177521,-509.922699
0.0019826375,468.901062,-510.735016
0.00199212375,472.774109,-511.595459
0.00200161012,476.406952,-512.383362
0.00201109638,480.284088,-513.26178
0.00202058275,483.986603,-513.927246
0.002030069,487.735352,-514.747681
0.00203955525,491.53183,-515.464478
0.00204904163,495.321289,-516.212036
0.00205852788,499.190735,-517.046326
0.00206801425,502.989655,-517.69165
0.0020775005,506.767456,-518.450378
0.00208698688,510.488495,-519.166382
0.00209647313,514.31134,-519.946777
0.0021059595,518.125488,-520.564575
0.00211544575,521.928223,-521.288269
0.002124932,525.764465,-522.033569
0.00213441825,529.536316,-522.609985
0.00214390475,533.379639,-523.282471
0.002153391,537.117493,-524.014099
0.00216287725,541.05957,-524.63269
0.0021723635,544.835938,-525.288086
0.00218184975,548.614807,-525.928528
0.00219133625,552.539001,-526.563171
0.0022008225,556.299866,-527.163513
0.00221030875,560.316956,-527.769653
0.002219795,563.963318,-528.398621
0.0022292815,567.935974,-528.955566
0.00223876775,571.76178,-529.646545
0.002248254,575.637878,-530.289062
0.00225774025,579.49762,-530.840576
0.0022672265,583.364441,-531.376465
0.002276713,587.234192,-531.917358
0.00228619925,591.143555,-532.566528
0.0022956855,594.923767,-533.167236
0.00230517175,598.875244,-533.729187
0.002314658,602.802246,-534.17627
0.0023241445,606.574646,-534.776978
0.00233363075,610.501892,-535.312317
0.002343117,614.534119,-535.946167
0.00235260325,618.317566,-536.393127
0.00236208975,622.335571,-536.933899
0.002371576,626.10376,-537.511414
0.00238106225,630.087891,-538.022766
0.0023905485,633.971863,-538.484497
0.00240003475,637.898804,-539.064026
0.00240952125,641.844971,-539.57428
0.0024190075,645.742615,-540.027954
0.00242849375,649.631409,-540.597961
0.00243798,653.582275,-541.112427
0.00244746625,657.632935,-541.541077
0.00245695275,661.595886,-542.029358
0.002466439,665.488098,-542.599121
0.00247592525,669.382996,-543.06543
0.0024854115,673.317627,-543.641846
0.002494898,677.418701,-544.082092
0.00250438425,681.408997,-544.592102
0.0025138705,685.400269,-545.057556
0.00252335675,689.279907,-545.461975
0.002532843,693.201782,-546.030823
0.0025423295,697.255432,-546.526794
